Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
1,Tiring and unpleasant work environment,Quite tiring because I was in nonfood department The team leader is absolutely unreasonable and impatient She blames me that I told the manager that the roster had not been released yet during my second dayby right my roster should be released on first day She scolds her department members for unreasonably and ridiculously On the other hand there is also a lazy NTUC boy who walks around use mobile phone and always talks to the merchandisers unnecessarily I had been doing most of the replenishing work and he did little He has bad temper and terrible attitude by yelling toward his colleagues and merchandisers Quite a number of temp staff left because of these two black sheep Overall it has been a disaster in NTUC Marine Parade nonfood department,nan,nan,Temporary Staff,Former Employee,Marine Parade,19/08/2020
3,productive fun working place,a good place to work Sometime difficult to handle stock during CNY Christmas because a lot of incoming stock promotions good benefits for workers in term of training,birthday celebration for individual staff,no fix hours breaks for staff,store keeper,Former Employee,Serangoon,23/06/2020
4,Suitable for people of all ages,Working well with elderly colleagues made me become more caring of the surrounding and working equipment as safety is always important This would be a good starting point for youngsters to experience the working world and at the same time make new friends and learn life experiences from the elderly as to how one should treat the people and things around you,nan,nan,Retail Assistant PartTime,Former Employee,Sembawang,29/05/2020
1,Worst company to work with,I need to take customer temperature and scanning of identity card under the sun I have to guide customer how to qr code download Apps help them to key in their information Too many work to do at this outlet and have to work under the sun,nan,nan,Temporary Staff,Former Employee,Blk 202 Hougang,21/05/2020
3,Nil,Management and staffs in tanglin mall are great Having alot of fun working there However with a toddler i dont have enough time to spent with my kid especially when i have to work in the afternoon shift,nan,nan,Team Leader,Former Employee,Tanglin,20/05/2020
2,Production issues,Always a problem with production due to cable thefts Generator was not able to power all major machinery Staff was demotivated due to poor salary payments,nan,nan,Factory Supervisor,Former Employee,Nancefield Gauteng,3/4/2020
3,Productive and Fun Place,Helpful colleagues Good work culture fast paced Dynamic retail setting Work life balance Fun culture Autonomy in decisions Sales driven,nan,nan,Community Pharmacist in Unity Pharmacy,Current Employee,East Singapore,20/02/2020
4,Excellent,This is a part time job It is through the agency that the job is engaged The cashiering team is very friendly and take care of each other Team work is demonstrated,nan,nan,Festive Temp Cashier,Former Employee,East Singapore,2/2/2020
5,Experience,It was a learning journey for me Throughout my time there I was exposed to different work ethics and the true definition of team spirit It was indeed an eye opener and a memorable experience,nan,nan,Cashier and Customer Service,Former Employee,Singapore,22/01/2020
4,Fast paced,Fast paced and major management rotation annually Review of strategy and realignment required for every change in management Poor flexi benefits No flexi dollars,nan,nan,Minion,Former Employee,Store,5/1/2020
5,fun work place,nice enviroment and friendly co workers i love to work there i did night shift we have 3 dffnt shifts i mostly took night shift most secure place,nan,nan,Retail Assistant,Former Employee,Yew Tee,30/12/2019
5,fun and excellent team mates,Very nice to work and good workmates Good team leader and enjoyed by working different shifts Some days are busy Customers are nice and friendly Updating ourselves by attending various training,nan,nan,Retail Asst,Former Employee,Singapore,12/12/2019
5,Good working environment,Verry good Company benefits and working Environment the best place to work Fresh food have a fod safety standards can learn more about food safety and other training,nan,nan,Lead Associate,Former Employee,Singapore,20/11/2019
4,Productive and fastpaced,A fastpaced work culture with good learning and growth opportunities Management are knowledgable and good guidance are provided for new hires Most enjoyable part of the job will be the satisfaction received after a launch of a successful campaign,nan,nan,Marketing Executive,Current Employee,West Singapore,13/11/2019
4,Facilities Working Systems,The facilities provide by the employers are very useful The working systems used by the employers really helps the employees to have some work life balance,nan,nan,Retail Supervisor,Former Employee,Ang Mo Kio,15/10/2019
3,Good,Ntuc is very good but the outlets chief cashier not happy each other and the never do thing go out and they never said give warranty letter and the outlets admiralty two months already many people resign also about two chief cashier same staff always take mc they never scolded,nan,nan,Cashier,Former Employee,Singapore,5/10/2019
5,Good respect good good difficult customers pay day,Typical day month end I learn customer service managing apply rules always Work place was enjoyable hardest when u meet difficult customers month,nan,nan,Sales Consultant,Former Employee,Boksburg north,30/09/2019
4,Fun more relaxed workplace,Has a more open culture Employees are allowed to work at their own time and target as long as they finish their task promptly before the set timeline Colleagues are friendly and approachable willing to help one another,nan,nan,Business Operations Assistant Purchasing Systems,Current Employee,Singapore,4/9/2019
3,Less time in office,Pick up Chairman from his resident and proceed to his meeting events and functions location as per schedule Ensure arriving early and pick up on time Driving at the best comfortable mode and safe Attend to vehicle servicing and and inspection as per schedule Vehicle must be well kept clean and odour free,nan,nan,Chairman Driver,Current Employee,Singapur PR,4/9/2019
3,Fun working environment,Overall is a good place to earn some allowances good culture do not have any politics supervisors and colleagues are helpful and nice overall good experience,nan,nan,Temporary Contract,Former Employee,Jurong West,29/08/2019
4,Productive and Fun Workplace but can be quite challenging,A good place to work as colleagues is generally quite nice due to the existing values and culture set up in the organisation However depending on which department you are in the working hours can be quite long and prone to everchanging challenges due to the scale and size of the company,nan,nan,Team Leader,Current Employee,Singapore,25/08/2019
3,A Stress full job,A good place to earn a lot more but no room to grow for foreign workers A very stress full job Difficulty in acquiring new staff Management care less about the foreign workers and favor the locals despite of their wrong doings A place where I find a lot of friends with different cultures,nan,nan,Team Leader,Former Employee,Singapore,22/08/2019
5,I really enjoyed my job,The staff were very kind and patient when it comes to teaching and would gladly help whenever help was needed It was a really great experience since it was chinese new year period with the crazy amount of people buying lots of goods for chinese new year,nan,nan,Cashier Parttime,Former Employee,Singapore,13/08/2019
3,temporary job,Just personal view Short period at the job so not able to give comment Every job is similiar which is mutitasking of jobs very busy tight schedule for duties Need to be very hard working to deliver the task on time Academic qualification plays an important role,nan,nan,Administrative Assistant,Former Employee,Singapore,28/07/2019
5,Nice place to wrk,Friendly placeCan enjoy Work there enjoy working there Friendly place to work college alate friendly and help fulIf we face any problem the manager and leader Al help to settle the problems,nan,nan,Cashier,Former Employee,Jurong point,14/07/2019
4,Good place to work,Some of senior staff not interested with new stuffand not willing to guidebut management staff and manager are good I cant work with people who are not friendlythat the reason i resigned,nan,nan,night filler,Former Employee,Serangoon,9/7/2019
2,Peaceful,Usually work alone but I made friends along the way I topped up dairy products like milk cheese and yogurt etc The pay is OK but sometimes it is too tiring as you need to keep on topping up thing,nan,nan,Retail Assistant PartTime,Former Employee,Changi,13/03/2019
5,Saw how a supermarket is run,This job provided me an opportunity to see the innerworkings of how a supermarket is run from preparing the supermarket for opening to its customers to shutting down the supermarket for the night while prepping it for the next day,nan,nan,Retail Assistant,Former Employee,Singapore,10/3/2019
3,An alright workplace,I work at one of the branches I would say that all of the people there are friendly However there was some miscommunication and misunderstandings that should not have happened in the first place due to payroll but this is also solely because of the agency I went to Overall I learnt a lot but I would not commit for that long,nan,nan,Sales Assistant,Former Employee,Singapore,3/3/2019
4,Productive,Well the organization is big everybody is busy including the CEO who is also an MP for SerangoonWe talk less Long day 1012 hrs Friendly Waiting expose to many intereting place such as Parliament House,nan,nan,Personal Driver,Former Employee,Jurong,18/01/2019
4,Great Job Experience,A typical day at work included serving customers at the checkout counter and managing the money in your own cash drawer What I learned from the job were customer service skills which included how to manage customer queries and difficult customers Head cashiers in charge of me are great people who made me feel welcomed and valuable The hardest part of the job was the long hours and it was physically demanding to stand for long periods of time Most enjoyable part of the job was definitely interacting with the older and experienced coworkers who were all friendly and patient in guiding me to do my job well,nan,nan,Cashier Parttime,Former Employee,Tanjong Pagar,21/12/2018
3,Social Enterprise with split personality,Working level culture is cordial and friendly Politicking happens a lot at the senior management level which leads to roadblocks and slows down progressinnovation Senior management is unable to align vision and expectations in order to drive the company forward as a team Recent talent acquisition seems to have been overly focused on personnel from the banking and management consultancy sector which leaves the organisation topheavy and shortstaffed to carry out the actual work,nan,nan,Manager,Current Employee,Singapore,5/12/2018
5,FairPrice management,FairPrice is a very well managed and established organization in Singapore Being the largest local grown retail company it has gained acceptance in the society frequently holding social events to benefit the community working hand in hand with government and non profit organizations It has also several sponsorship programs to help the needy Staff welfare benefits are also very well received including flexi work hours medical and dental coverage etc All in all FairPrice is one of the best local organizations to work with,nan,nan,Executive Customer Relations,Former Employee,Singapore,7/11/2018
3,Family working style,A typical day at work would be monitoring projects andor meeting project managers to understand projects workplace Culture is more like family The hardest part of the job is convincing project managers to do documentation The most enjoyable part of the job is speaking to people from all works of life in the profession,nan,nan,IT Program Executive,Current Employee,Singapore,28/10/2018
5,Company culture,Jobs arent just a paycheck and given the amount of time spent working its important for me to make sure theres a good fit This company has good culture and I learned a lot,nan,nan,Team leader,Former Employee,Singapore,23/10/2018
5,Fun workplace,Cashier collecting money and packing Help out in the training new Cashier on the Job Management was good Had good relation with colleagues supervisor,nan,nan,Cashier,Former Employee,Queenstown,24/08/2018
4,Retail,o Trained new cashiers on procedures customer service and sales techniques o Created attractive displays to promote items o Responded to customer requests and directed to merchandise,nan,nan,Cashier,Former Employee,Farrer Park,19/08/2018
4,busy,a typical day is always busy cashiering and handle customer no comment for management good learning place would send for training long standing hour fun part is team player,nan,nan,Cashier Parttime,Former Employee,Choa Chu Kang,15/08/2018
4,Working style,Good worklife balance Company going through transition from traditional retail to digitization Trying to create an omni channel experience Hardest part of the job is about staff management,nan,nan,Senior Branch Executive,Former Employee,Tuas,26/07/2018
3,working,everyday we doing multitasking that everything we need to know how do cashiering topping up of items cut fish frozen and etc always overtime must do finish the work before going back,nan,nan,Retail Assistant PartTime,Former Employee,lorong limau,25/07/2018
3,Fun,Handle cash Sales Smile Punctual Friendly Helpful Acknowledge Hardworking Always help Promote sales Give helping hands for pioneers Have passion for others,nan,nan,Cashier Parttime,Former Employee,Singapore,25/07/2018
3,My opinion and experiences,The work is straight forward and simple to handle However the remuneration is very low and the working hour is long We are required to work on most public holidays without any double compensation Most of the staff are cooperative except for a few Nothing is too difficult except for some people who gets impatient when there is a sudden influx of customers in the queue for delivery services Nothing is too difficult except for some unreasonable or difficult customers who loves to complaint even for some minor issues or when they could not get a replacement or refunds These customers requires our tactfulness and soft skill to handle At all times do not offend them even though they may be nasty Just avoid any argument and quickly get a fellow colleague to assist you in handling the customer so as to appease himher However giving the best services to the customers is the most enjoyable always serves with a smile showing that you care,Nothing,Long hours,Customer Service Officer,Former Employee,Thomson plaza,19/07/2018
5,management,The management works hand in hand with employee of the company to ensure that employee has the benefit and company has meet with the profit benefit More involvement of employee in CSR and other programe,better staff benefit,short breaks,Manager,Former Employee,Singapore,6/7/2018
4,fun place,learn how to restocking stock and how to maintain good personal hygiene and was able to get along with some good colleage and had a good experince in working there,nan,nan,Retail assistant,Former Employee,bishan,23/06/2018
