Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
1,Airman Training Program,nan,Get paid to learn on the job when you are actually working,No urgency in program most incoming trainees were told it would be an 18 month program and are still training at 2 years Program leadership is unaware of the situation No guarantee on when they will get you to the license testing,Aircraft Mechanic Trainee,Current Employee,Pensacola FL,15/06/2021
5,Fast paced competitive work place,nan,Good overall culture Management is starting to be responsive and agile,Too many Silos New employees are a bit lost initially,Principal Software Engineer,Current Employee,Herndon VA,15/04/2021
4,Good,nan,I love it in every way,So good and adorable to work with,Engineering,Current Employee,Fort Carson CO,22/04/2021
1,lazy coworkers,nan,not much besides lax work environment,lazy coworkers who were too busy worrying about what ewchother was doing over getting a job done,Composite Technician,Former Employee,nan,21/09/2021
1,Stay away,nan,There are no longer any pros for working at the Kidron plant,GM has no clue how to run a company GM and HR lie about anything and everything,Welder,Former Employee,Kidron OH,01/08/2021
4,Good Opportunities Lacking Care for Employees,nan,Unique opportunities Large company lots of room to grow Stable jobs,Lack of appropriate sick leave Hard to get a performance reviewcompensation discussion,Quality Assurance Analyst,Current Employee,Mobile AL,18/02/2021
1,Terrible company,nan,None nothing at all is good about working for this company Stay away is the best advice I can give,Pay is low Benefits really arent that great Management is absolutely terrible You get punished for actually trying to do your job,Anonymous Employee,Current Employee,nan,29/07/2021
2,Operations Manager,nan,Flexible work from home ability currently after Covid,Pay is not the best,Operations Manager,Current Employee,Hartford CT,16/07/2021
2,Not a positive working space,nan,Easy Work Fast Paced Environment,Management knows less than floor workers and constantly heckles and targets employees they dont like Covid protocol and social distancing are non existent Workplace is toxic All around not the best experience,Manufacturing Technician,Current Employee,Baltimore MD,28/04/2021
3,Gary,nan,Day shift vacation and pay not bad,Poor management no consistent schedule,Group Leader,Current Employee,Kidron OH,01/07/2021
3,Good place to start,nan,Great place to gain experience Old company that really needs some fresh ideas soa re willing to listen PTO and benefits,Can feel unorganized at times Lowpay More tasks than can handle at times,Workforce Development Specialist,Current Employee,Mobile AL,30/03/2021
3,Ok,nan,Its a good place to start and learn more as a mechanic,Management is terrible no hours as a contractor,Aircraft Mechanic,Current Employee,San Antonio TX,28/04/2021
3,Alright place,nan,Good experience overtime If you consider overtime a pro,They tell you you’re working the weekend on Friday right before you leave Management not very originated,APG Technician,Current Employee,Pensacola FL,01/03/2021
1,k Job,nan,Good people pay benefits hours,long hours rude mgmt no advancment,Mechanic,Current Employee,Mobile AL,07/04/2021
5,Great place to work,nan,Great pay and benefits lots of room for advancement,The hangars can get warm,Workforce Development Coordinator,Current Employee,nan,17/08/2020
2,Shady place,nan,Heavy maintenance experience good leads,They do everything they can to mess up your pay,Apg Mechanic,Current Employee,nan,14/01/2021
1,I dont like or trust this place,nan,Great experience to move on to other jobs,Pay Leads dont teach Broken tools Jobs get rushed which isnt safe Theres always either too many mechanics and people get laid off or not enough Never a healthy amount,Apg Mechanic,Current Employee,nan,02/11/2020
3,Good for fresh graduate,nan,able to learn a lot if u r willing to do so,Difficult to work together with workshop staff,Engineer,Former Employee,nan,21/09/2020
3,Admin,nan,Good benefit such as holiday pto and 401,High turnover rate bad management,Network Administrator,Current Employee,Alexandria VA,29/09/2020
3,No common mission,nan,Large with many different business units,not sure what business is their priority,RVP Sales,Former Employee,nan,23/09/2020
1,Poor communication,nan,None that I can think of,Poor communication Poor pay Union,Operator,Former Employee,Baltimore MD,05/10/2020
1,Awful Place to Work,nan,Insurance is decent Other than that not much,Treat you like a number HR Department is AWFUL Constant turn over Too interested in personal gains and cliques to worry about laws and employees,Changed Constantly,Former Employee,Mobile AL,08/07/2020
1,None,nan,I like the hours and overtime,Im not sure I havent started yet,Tooling Engineer,Current Employee,nan,09/07/2020
5,Overall,nan,good work life balance company respects ur leave,pay too low for market rate,Assistant Manager,Current Employee,nan,17/01/2023
3,Forward thinking company,nan,Forward thinking Latitude for growth as there are various commercial groups under the ST umbrella WFH options are available,May face pressure from other BU heads to cater to their needs and operations,Assistant Manager Procurement,Former Employee,Paya Lebar,08/02/2023
3,Not my first choice,nan,Good pay and MNC experience,world is moving forward but the department that im in are still lacking with automation or the automation are creating more administrative work mgr and subordinate does not talk to each other,Senior Account Executive,Current Employee,Singapore,04/02/2023
4,Experienced management team,nan,Experienced management team and they know what they are doing Good teamwork work,There is to much things to be done,Senior Systems Engineer,Current Employee,Ang Mo Kio New Town,01/01/2023
3,Good work life balance,nan,good work life balance and helpful colleagues,slow career progression annoying processes,Engineer,Current Employee,Ang Mo Kio New Town,17/02/2023
5,Tlae,nan,Good place to work and gain basic knowledge and skills working on aircraft,Nothing bad for the employees and its a great company to work for,LAETSalesInside Sales,Current Employee,Singapore,15/12/2022
4,nice,nan,colleagues are very kind and supportive,Low salary and annual bonus,Software Engineer,Current Employee,Ang Mo Kio New Town,11/01/2023
2,Disappointing Experience,nan,You will learn a lot You will pick up a new language How to work under intense scrutiny How to work in an office where your manager shouts your mistakes to the entire office At least you get some worklife balance,I was hired during a transitional period I was interviewed and hired by Employer ACompany A But when I went started Emp A had left and Emp BCompany B took over the role Many red tapes and micromanaging by superiors ensured you will not be able to do things your way Requests will come late and will rush you to do it immediately even though you highlighted that it will take time Meetings were either in mandarin or in some dialect I dont fault them but I was not a fit at all,Executive,Former Employee,nan,16/11/2022
1,Generally,nan,Great colleagues Stability It is who you know,Very messy since restructuring High turnover at operational level especially HR and finance Slow pay rise,Senior Manager,Former Employee,Ang Mo Kio New Town,30/01/2023
2,Retiree home,nan,can be relatively normal pace across the year,boring slow and outdated management,Project Engineer,Current Employee,Singapore,11/02/2023
4,nice place,nan,good pay decent job but hard life,no AWS and 12 monthsstable job and career,Mechanical Engineer,Current Employee,Changi Village,25/01/2023
2,Review your salary package,nan,Good and helpful collegues as long as work is not involved,Higher Managements style of appraisal discourage team work to prevent down stream problems and emphaise on individual who vocally solve the problem that the individual created Low pay and glass ceiling due to parachuting management,Senior Design Engineer,Former Employee,Boon Lay,22/12/2022
2,Pay not competetive but still have work life balance,nan,Good work life balance not bad junior managers But senior managers are clueless on whats happening on the ground,Tightunrealistic deadline from defense customers ST senior management full of ex armed forces officers who have no clue about the technology being used in our projects very bad pay some m1 or m2 engineers have worked for 10 years with 2 digit or,Senior Software Engineer II,Current Employee,nan,06/08/2022
2,Can only work if you have Passion,nan,Friendly colleagues free parking Interesting job,Low pay and increment Unable to retain and attract talent A lot of red tape and security protocols but no compensation,Senior Principal Engineer,Current Employee,nan,29/12/2022
3,Employment,nan,Good for fresh diploma graduate to start off with,Depending on individual to judge,Service Engineer,Current Employee,Singapore,24/01/2023
4,Work,nan,Very Good Work Life Balance,Not as motivated as commercial sectors,Engineer,Current Employee,Jurong West New Town,25/01/2023
2,low bonus and employee welfare,nan,stable structured with many long serving employees,low bonus and employee welfare,Assistant Manager,Former Employee,nan,23/01/2023
