Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
10,Worst management,,Netflix itself is awesome Who wouldnt want to work there right Free coffee cheap awesome meals rad break room awesome coworkers you can choose your own breaks,Netflix is probably one of the worst places Ive worked and thats saying something They give you a guideline saying you follow things as it goes and you dont have a script Yet when youre not understanding something completely instead of helping you and showing you how to do itthey lecture you and expect you to get it right When you ask what is the right way to do it They say there is no right way but there definitely is a wrong way If you dont get it right after the lecture they just fire you,Customer Service Representative,Current Employee,Salt Lake City UT,Aug 30 2016
40,Reliability Engineering Mostly Good,,Worked with some of the best engineers in the world across all engineering business units Plenty of interesting and important work everywhere you look Learned an incredible amount about service oriented architectures in practice Lots of swag and fun events with your coworkers,If you have a wife or kids and you like them a lot this may not be the job for you because there is no followthesun or other strategy to mitigate painful oncall rotations Reliability Engineering was treated more like an outside consultant that would manage and review incidents with minimal depth into any business unit Being a mostly Python shop we were black sheep to the Java developers in Product Engineering,nan,Former Employee,nan,Jun 30 2015
10,Culture of Fear,,Pay is amazing and kitchen is well stocked,Hiring is a joke There is a culture of fear you will get fired so everyone tends to hire people who are less talented then they are So you are starting out with B level players hire C who hire D And all live in fear they will get canned The code base is blogged about and presented very well but its a streaming company Their value is content and your technology doesnt matter Rarely dodid we hire anyone away from a real tech company Google Apple Facebook etc Those who work here want the money and then stay to defend their employment status bc they now spend more and change their lifestyle versus change their skills by being better engineers,Senior Software Engineer,Former Employee,Los Gatos CA,Jul 5 2017
50,Bright people who are fun to work with in very highperformance culture,,Walk the walk consistent with the wellarticulated culture Very focused Clear wellarticulated strategy with very good execution against it Very transparent both internally and externally,A bit of a culture of fear articulated as the sniper in the building as some new hires and longtime employees are either bad fit or fail to grow and are subsequently let go Culture emphasizes experimentation which includes needed organizational experiments and this type of experimentation also reinforces the fear Again most of this wellarticulated in culture deck so no surprise,Vice President,Former Employee,Los Gatos CA,Oct 18 2012
40,Great place to work but not for everyone,,Little to no micromanagement Control and ownership of software components you are responsible for Exceptional compensation Incredible vacation policy,Not for everyone developers who like working independently and without much guidance will thrive here Developers who are used to being given specific assignments and lots of structure might crash and burn and get fired Extremely stressful working situations at times as you will be responsible for a lot and might not have backup and potential for very long hours If you dont have the courage to ask for your vacations you might not get any no formal vacation policy,Senior Software Engineer,Former Employee,Los Gatos CA,Sep 17 2014
20,Senior Software Engineer,,Best place if you just want to work with great technically capable folks 1520 higher pay but if you actually consider everything it might not be that big of a deal Check what will be inhand salary after taxes because taxes also go high with salary Somewhat transparent workplace but at times higher management takes ridiculous decisions like Quickster what the hell Reed gets thing right most of the time except Quickster and understand what he is doing,Worst place where all technically capable folks are also so heavy on political games within the team Also it depends on which team you are part of My general observation is larger the team greater the politics being played within IT IS LITERALLY TRUE THAT IT IS CULTURE OF FEAR no matter how talented you are I have seen ppl being walked out they were far more talented than other mediocre engineers surviving there for 34 years just because they lick the managers as and I have seen managers loving it being licked Few managers who came from Google or some other similar companies think that they know everything in the world and act as if they rule the world but actually they are literally dumb as when it comes to real work They claim it is all rockstar engineers and the fire who are not but I have seen ppl surviving for ages not even knowing what they did for all these years at Netflix and they are pure mediocre engineers My advice to engineers would be if you are happy with the work what you are doing right now or with other offers in hand dont fall for the salary trap it is merely an illusion,Senior Software Engineer,Current Employee,Los Gatos CA,Mar 15 2013
50,The culture is the real deal read the deck It really is the blueprint for our culture,,Freedom and Responsibility from the culture deck is true Super smart people that love what they do Awesome brand Compensation is top of market,Things move quickly sometimes hard to keep up High performing culture means there is pressure but deliver rather than worry and you will be fine,Director,Current Employee,Los Gatos CA,Feb 23 2015
20,Can be a great place to work if you fit in,,Incredibly bright individuals to work with The product is incredible LOTs of perks and comp is ridiculously good,It makes sense why they comp so well The idea that there is a culture fear is very real Everyone ramps up differently but if you dont fit in then you get cut Everyday there were constant reminders of consequences if you didnt fit their one hundred something culture deck Managers give challenging feedback but its really an excuse for them to judge harshly and put you down,Anonymous Employee,Former Employee,Los Gatos CA,May 17 2017
40,Decent Place to work,,In this time of uncertainty this is a good job You have to be self motivated and naturally competitive to survive here Free food for working mandatory extra hours Stock option Free subscription Clean facilities good,A bit scary in terms of job security at first If youre scared for your job after being there for a few months then you are likely not a good fit Advancement is limited and competitive Getting approved time off AOL little old ladies prepaid,Customer Service Representative,Current Employee,Hillsboro OR,May 4 2010
50,Amazing company for growth,,Exposure to a lot of interesting challenges No day is the same A lot of room for professional and personal growth Some amazing colleagues who work selflessly and make the team an awesome place to contribute to,Long hours Priorities change frequently Constant pivoting can lead to change fatigue Not everyone embraces the company values the same way Some people take advantage of the freedom part of Freedom and Responsibility Culture differences between LA and LG offices,Vendor Manager,Current Employee,Los Gatos CA,Nov 8 2019
